GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MusicWebApplication,com.musicapp.Repository,UserRepository,6,0,0,0,2,0,2,0,2,0
MusicWebApplication,com.musicapp.Repository,CategoryRepository,48,0,0,0,13,0,7,0,7,0
MusicWebApplication,com.musicapp.Repository,ProductRepository,50,0,0,0,15,0,7,0,7,0
MusicWebApplication,com.musicapp.Entities,User_,3,0,0,0,1,0,1,0,1,0
MusicWebApplication,com.musicapp.Entities,User,259,0,22,0,63,0,30,0,19,0
MusicWebApplication,com.musicapp.Entities,Role,87,0,8,0,28,0,13,0,9,0
MusicWebApplication,com.musicapp.Entities,Order_,3,0,0,0,1,0,1,0,1,0
MusicWebApplication,com.musicapp.Entities,Product,241,0,22,0,58,0,31,0,20,0
MusicWebApplication,com.musicapp.Entities,Category_,3,0,0,0,1,0,1,0,1,0
MusicWebApplication,com.musicapp.Entities,Order,3,0,0,0,1,0,1,0,1,0
MusicWebApplication,com.musicapp.Entities,Customer_,3,0,0,0,1,0,1,0,1,0
MusicWebApplication,com.musicapp.Entities,Category,115,0,10,0,32,0,17,0,12,0
MusicWebApplication,com.musicapp.Entities,Product_,3,0,0,0,1,0,1,0,1,0
MusicWebApplication,com.musicapp.Entities,Customer,205,0,16,0,53,0,25,0,17,0
MusicWebApplication,com.musicapp.Entities,Role_,3,0,0,0,1,0,1,0,1,0
MusicWebApplication,com.musicapp.Utls,FileUtls,111,0,10,0,27,0,12,0,7,0
MusicWebApplication,com.musicapp.Utls,CofrimDialog,16,0,0,0,5,0,3,0,3,0
MusicWebApplication,com.musicapp.Utls,CategoryConverter,46,0,16,0,8,0,11,0,3,0
MusicWebApplication,com.musicapp.Utls,CategoryValidation,31,0,2,0,10,0,5,0,4,0
MusicWebApplication,com.musicapp.Exceptions,PrdouctNotFoundException,21,0,0,0,6,0,3,0,3,0
MusicWebApplication,com.musicapp.Controllers,CategoryController,113,0,2,0,32,0,14,0,13,0
MusicWebApplication,com.musicapp.Controllers,UserController,10,0,0,0,4,0,3,0,3,0
MusicWebApplication,com.musicapp.Controllers,ProductController,95,0,0,0,29,0,13,0,13,0
